#,Name,Age Start,Age End,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
,,,,,,,,,,,,,,
127,Braden Henderson,17.342,17.802,15,0,1,0,1,1,0,0.067,0,0.067,0.067
128,Brady Hinz,17.372,17.829,16,5,1,2,6,8,0.312,0.062,0.125,0.375,0.5
129,Jordan Ernst,20.247,20.707,18,4,5,1,9,10,0.222,0.278,0.056,0.5,0.556
130,Adam Ruzicka,18.352,18.812,18,12,8,5,20,25,0.667,0.444,0.278,1.111,1.389
131,Curtis Egert,18.615,19.075,8,0,0,1,0,1,0,0,0.125,0,0.125
132,Sean Josling,18.489,18.949,18,5,1,1,6,7,0.278,0.056,0.056,0.333,0.389
133,Kelton Hatcher,18.412,18.84,14,0,0,0,0,0,0,0,0,0,0
134,Riley Coome,18.196,18.656,15,0,0,1,0,1,0,0,0.067,0,0.067
135,Cole Tymkin,18.451,18.911,17,1,4,1,5,6,0.059,0.235,0.059,0.294,0.353
136,Liam Foudy,17.616,18.076,18,15,4,4,19,23,0.833,0.222,0.222,1.056,1.278
137,Ian Blacker,18.308,18.768,16,0,1,1,1,2,0,0.062,0.062,0.062,0.125
138,Josh Nelson,18.308,18.768,19,3,4,0,7,7,0.158,0.211,0,0.368,0.368
139,Jacob Golden,18.495,18.955,19,2,2,4,4,8,0.105,0.105,0.211,0.211,0.421
140,Richard Whittaker,17.44,17.898,16,0,2,1,2,3,0,0.125,0.062,0.125,0.188
141,Billy Moskal,17.487,17.947,19,4,6,3,10,13,0.211,0.316,0.158,0.526,0.684
142,Alex Formenton,18.01,18.47,19,12,1,3,13,16,0.632,0.053,0.158,0.684,0.842
143,Austin McEneny,20.436,20.896,18,3,1,4,4,8,0.167,0.056,0.222,0.222,0.444
144,Tyler Angle,16.961,17.419,18,3,3,2,6,8,0.167,0.167,0.111,0.333,0.444
145,Connor Corcoran,17.109,17.566,18,0,4,2,4,6,0,0.222,0.111,0.222,0.333
146,Chris Playfair,17.295,17.753,17,2,3,1,5,6,0.118,0.176,0.059,0.294,0.353
147,Cole Purboo,18.248,18.705,18,3,2,1,5,6,0.167,0.111,0.056,0.278,0.333
148,Ryan Martin,18.259,18.664,11,1,0,1,1,2,0.091,0,0.091,0.091,0.182
149,Allan McShane,17.588,18.048,16,7,8,4,15,19,0.438,0.5,0.25,0.938,1.188
150,Mathieu Charlebois,18.588,18.913,1,0,0,0,0,0,0,0,0,0,0
151,Gera Poddubnyi,18.273,18.73,16,3,1,3,4,7,0.188,0.062,0.188,0.25,0.438
152,Cade Robinson,17.903,18.36,20,2,3,0,5,5,0.1,0.15,0,0.25,0.25
153,Pavel Gogolev,17.575,18.032,16,10,1,2,11,13,0.625,0.062,0.125,0.688,0.812
154,Semyon Der-Arguchintsev,17.002,17.46,16,1,6,6,7,13,0.062,0.375,0.375,0.438,0.812
155,Declan Chisholm,17.679,18.136,12,0,2,2,2,4,0,0.167,0.167,0.167,0.333
156,Carter Robertson,17.67,18.13,20,2,3,3,5,8,0.1,0.15,0.15,0.25,0.4
157,Kody Clark,17.928,18.388,14,4,1,2,5,7,0.286,0.071,0.143,0.357,0.5
158,Kevin Bahl,17.221,17.681,10,0,1,3,1,4,0,0.1,0.3,0.1,0.4
159,Emmett Gordon,17.627,18.067,7,0,0,0,0,0,0,0,0,0,0
160,Nathan Dunkley,17.534,17.994,17,5,9,3,14,17,0.294,0.529,0.176,0.824,1
161,Justin Pringle,17.525,17.985,14,1,1,0,2,2,0.071,0.071,0,0.143,0.143
162,Sergey Popov,17.473,17.933,19,2,2,1,4,5,0.105,0.105,0.053,0.211,0.263
163,Linus Nyman,18.185,18.645,19,13,5,3,18,21,0.684,0.263,0.158,0.947,1.105
164,Eemeli Rasanen,18.533,18.993,19,1,2,1,3,4,0.053,0.105,0.053,0.158,0.211
165,Tyler Tucker,17.545,18.004,21,2,1,4,3,7,0.095,0.048,0.19,0.143,0.333
166,Joey Keane,18.21,18.67,16,5,3,6,8,14,0.312,0.188,0.375,0.5,0.875
167,Jaden Peca,18.415,18.875,21,7,7,2,14,16,0.333,0.333,0.095,0.667,0.762
168,Jason Willms,18.604,19.064,21,4,8,3,12,15,0.19,0.381,0.143,0.571,0.714
169,Curtis Douglas,17.531,17.988,18,6,6,3,12,15,0.333,0.333,0.167,0.667,0.833
170,Kyle Heitzner,18.169,18.629,17,1,0,0,1,1,0.059,0,0,0.059,0.059
171,Ryan O'Bonsawin,18.514,18.878,1,0,0,0,0,0,0,0,0,0,0
172,Kirill Nizhnikov,17.468,17.925,18,3,5,2,8,10,0.167,0.278,0.111,0.444,0.556
173,Michael Little,17.569,18.029,21,6,3,1,9,10,0.286,0.143,0.048,0.429,0.476
174,Charles-Antoine Roy,18.577,18.903,1,0,0,0,0,0,0,0,0,0,0
175,Connor Roberts,17.566,18.026,18,8,6,1,14,15,0.444,0.333,0.056,0.778,0.833
176,Isaac Nurse,18.506,18.965,19,6,0,0,6,6,0.316,0,0,0.316,0.316
177,Zachary Jackson,18.681,19.124,10,0,1,0,1,1,0,0.1,0,0.1,0.1
178,Marian Studenic,18.886,19.346,19,2,6,1,8,9,0.105,0.316,0.053,0.421,0.474
179,Adam Thilander,18.996,19.456,18,4,4,4,8,12,0.222,0.222,0.222,0.444,0.667
180,Rhys Forhan,17.665,18.125,15,0,1,0,1,1,0,0.067,0,0.067,0.067
181,Daniel Walker,18.333,18.777,14,2,2,0,4,4,0.143,0.143,0,0.286,0.286
182,Adam McMaster,17.561,18.004,16,3,1,4,4,8,0.188,0.062,0.25,0.25,0.5
183,Akil Thomas,17.706,18.166,21,9,8,9,17,26,0.429,0.381,0.429,0.81,1.238
184,Oliver Castleman,18.004,18.464,17,0,4,1,4,5,0,0.235,0.059,0.235,0.294
185,Danial Singer,18.599,19.059,20,6,0,4,6,10,0.3,0,0.2,0.3,0.5
186,Matthew Philip,18.297,18.757,21,3,2,2,5,7,0.143,0.095,0.095,0.238,0.333
187,Liam Ham,18.618,19.078,18,0,5,4,5,9,0,0.278,0.222,0.278,0.5
188,Dawson Baker,17.435,17.879,13,0,1,0,1,1,0,0.077,0,0.077,0.077
189,Owen Lalonde,17.624,18.084,19,1,1,4,2,6,0.053,0.053,0.211,0.105,0.316
190,Owen Gilhula,17.35,17.807,11,0,0,0,0,0,0,0,0,0,0
191,Drake Pilon,18.957,19.414,18,6,3,1,9,10,0.333,0.167,0.056,0.5,0.556
192,Darian Pilon,18.957,19.414,17,3,4,2,7,9,0.176,0.235,0.118,0.412,0.529
193,William Ennis,17.295,17.755,15,1,0,0,1,1,0.067,0,0,0.067,0.067
194,Serron Noel,17.106,17.566,16,9,2,1,11,12,0.562,0.125,0.062,0.688,0.75
195,Danil Antropov,16.74,17.2,14,9,1,2,10,12,0.643,0.071,0.143,0.714,0.857
196,Cole Cameron,19.357,19.814,20,1,2,2,3,5,0.05,0.1,0.1,0.15,0.25
197,Luke Beamish,17.254,17.712,12,0,0,2,0,2,0,0,0.167,0,0.167
198,Maksim Sushko,18.599,19.056,20,9,6,5,15,20,0.45,0.3,0.25,0.75,1
199,Aidan Dudas,17.254,17.712,20,10,5,2,15,17,0.5,0.25,0.1,0.75,0.85
200,Marko Jakovljevic,16.811,17.252,2,1,0,0,1,1,0.5,0,0,0.5,0.5
201,Alex Gritz,17.002,17.46,16,0,0,3,0,3,0,0,0.188,0,0.188
202,Barrett Hayton,17.271,17.714,14,3,6,3,9,12,0.214,0.429,0.214,0.643,0.857
203,Dmitri Samorukov,18.254,18.697,18,4,6,2,10,12,0.222,0.333,0.111,0.556,0.667
204,Ryan Merkley,17.09,17.55,15,1,6,6,7,13,0.067,0.4,0.4,0.467,0.867
205,Barret Kirwin,17.577,18.037,19,4,0,1,4,5,0.211,0,0.053,0.211,0.263
206,Albert Michnac,18.913,19.373,21,6,4,9,10,19,0.286,0.19,0.429,0.476,0.905
207,Kyle Gentles,19.3,19.759,13,1,0,1,1,2,0.077,0,0.077,0.077,0.154
208,Giovanni Vallati,17.569,18.029,19,0,2,5,2,7,0,0.105,0.263,0.105,0.368
209,Riley Damiani,17.492,17.944,18,3,4,2,7,9,0.167,0.222,0.111,0.389,0.5
210,Alex Peterson,18.311,18.733,2,0,0,0,0,0,0,0,0,0,0
211,Cedric Schiemenz,18.547,19.004,18,1,5,4,6,10,0.056,0.278,0.222,0.333,0.556
212,Eric Guest,17.394,17.854,17,3,1,0,4,4,0.176,0.059,0,0.235,0.235
213,Luke Moncada,17.301,17.761,18,3,3,1,6,7,0.167,0.167,0.056,0.333,0.389
214,Holden Wale,17.137,17.597,10,0,0,0,0,0,0,0,0,0,0
215,Shaw Boomhower,18.878,19.294,8,1,1,0,2,2,0.125,0.125,0,0.25,0.25
216,Christopher Cameron,18.303,18.763,21,0,0,0,0,0,0,0,0,0,0
217,Jacob Moverare,19.045,19.371,1,0,0,0,0,0,0,0,0,0,0
218,Drew Hunter,18.61,19.07,20,1,4,0,5,5,0.05,0.2,0,0.25,0.25
219,Jack Phibbs,18.536,18.996,15,0,1,0,1,1,0,0.067,0,0.067,0.067
220,Peter Stratis,17.662,18.119,18,2,3,0,5,5,0.111,0.167,0,0.278,0.278
221,Matt McNamara,17.353,17.81,12,0,1,0,1,1,0,0.083,0,0.083,0.083
222,Alex Turko,18.692,19.152,15,1,0,2,1,3,0.067,0,0.133,0.067,0.2
223,Andy Baker,18.341,18.801,18,2,0,1,2,3,0.111,0,0.056,0.111,0.167
224,Chad Denault,17.416,17.873,16,0,1,0,1,1,0,0.062,0,0.062,0.062
225,Daylon Groulx,17.276,17.733,18,2,1,3,3,6,0.111,0.056,0.167,0.167,0.333
226,Riley McCourt,17.224,17.684,18,3,2,5,5,10,0.167,0.111,0.278,0.278,0.556
227,Nick King,18.675,19.135,18,0,3,2,3,5,0,0.167,0.111,0.167,0.278
228,DJ Busdeker,17.977,18.432,19,3,2,1,5,6,0.158,0.105,0.053,0.263,0.316
229,Sam Bitten,17.49,17.95,20,3,3,1,6,7,0.15,0.15,0.05,0.3,0.35
230,Aidan Timmermans,17.388,17.846,15,1,0,1,1,2,0.067,0,0.067,0.067,0.133
231,Ryan Wells,18.081,18.495,13,0,3,1,3,4,0,0.231,0.077,0.231,0.308
232,Bradey Johnson,17.731,18.191,19,2,1,0,3,3,0.105,0.053,0,0.158,0.158
233,Mathieu Foget,20.532,20.992,21,7,12,5,19,24,0.333,0.571,0.238,0.905,1.143
234,Harrison Cottam,18.254,18.714,14,1,1,0,2,2,0.071,0.071,0,0.143,0.143
235,Jonathan Yantsis,18.388,18.848,20,2,0,1,2,3,0.1,0,0.05,0.1,0.15
236,Danny Katic,17.117,17.561,16,2,2,1,4,5,0.125,0.125,0.062,0.25,0.312
237,Owen Headrick,20.066,20.523,15,2,5,1,7,8,0.133,0.333,0.067,0.467,0.533
238,Owen Burnell,19.064,19.461,9,0,1,0,1,1,0,0.111,0,0.111,0.111
239,Mitchell Hoelscher,17.638,18.098,20,7,8,2,15,17,0.35,0.4,0.1,0.75,0.85
240,Quinn Yule,17.695,18.155,20,1,2,2,3,5,0.05,0.1,0.1,0.15,0.25
241,Jeffrey Durocher,18.675,19.001,1,0,0,0,0,0,0,0,0,0,0
242,Stephen Templeton,20.638,20.967,1,0,0,0,0,0,0,0,0,0,0
243,Michael Vukojevic,16.274,16.734,16,0,3,1,3,4,0,0.188,0.062,0.188,0.25
244,Alec Malo,18.133,18.459,1,0,0,0,0,0,0,0,0,0,0
245,Kevin Hancock,19.543,20,20,12,9,3,21,24,0.6,0.45,0.15,1.05,1.2
246,Paul Larabie,17.635,18.076,15,0,0,0,0,0,0,0,0,0,0
247,Jake Goldowski,17.361,17.816,16,5,3,0,8,8,0.312,0.188,0,0.5,0.5
248,Blade Jenkins,17.098,17.553,19,4,2,5,6,11,0.211,0.105,0.263,0.316,0.579
