#,Name,Age Start,Age End,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
,,,,,,,,,,,,,,
415,Marcus Crawford,20.49,20.945,19,1,5,4,6,10,0.053,0.263,0.211,0.316,0.526
416,Keaton Middleton,19.598,20.052,19,1,2,5,3,8,0.053,0.105,0.263,0.158,0.421
417,Tye Felhaber,19.116,19.576,20,15,9,5,24,29,0.75,0.45,0.25,1.2,1.45
418,Kyle Maksimovich,19.521,19.979,15,3,4,0,7,7,0.2,0.267,0,0.467,0.467
419,Jesse Saban,20.671,21.131,18,0,6,1,6,7,0,0.333,0.056,0.333,0.389
420,Taylor Raddysh,19.576,20.036,17,12,9,4,21,25,0.706,0.529,0.235,1.235,1.471
421,Patrick Fellows,20.25,20.707,16,3,0,1,3,4,0.188,0,0.062,0.188,0.25
422,TJ Fergus,20.48,20.94,20,1,5,5,6,11,0.05,0.25,0.25,0.3,0.55
423,Trent Fox,20.17,20.63,18,7,8,1,15,16,0.389,0.444,0.056,0.833,0.889
424,Matthew Timms,19.349,19.77,12,0,5,4,5,9,0,0.417,0.333,0.417,0.75
425,Jonathan Ang,19.625,20.085,18,6,9,1,15,16,0.333,0.5,0.056,0.833,0.889
426,Reagan O'Grady,18.755,19.215,21,1,3,3,4,7,0.048,0.143,0.143,0.19,0.333
427,Ben Hawerchuk,19.475,19.918,18,3,1,3,4,7,0.167,0.056,0.167,0.222,0.389
428,Lucas Chiodo,18.878,19.338,21,10,11,5,21,26,0.476,0.524,0.238,1,1.238
429,Adrian Carbonara,20.515,20.956,16,1,1,1,2,3,0.062,0.062,0.062,0.125,0.188
430,Cliff Pu,19.289,19.749,16,3,8,6,11,17,0.188,0.5,0.375,0.688,1.062
431,Travis Barron,19.083,19.543,20,7,8,3,15,18,0.35,0.4,0.15,0.75,0.9
432,Zach Shankar,20.633,21.09,17,0,2,4,2,6,0,0.118,0.235,0.118,0.353
433,Zach Poirier,19.349,19.809,19,3,2,1,5,6,0.158,0.105,0.053,0.263,0.316
434,Mark Shoemaker,19.968,20.428,19,0,1,0,1,1,0,0.053,0,0.053,0.053
435,Anthony Salinitri,19.535,19.995,18,7,3,5,10,15,0.389,0.167,0.278,0.556,0.833
436,Tim Gettinger,19.425,19.885,17,10,7,3,17,20,0.588,0.412,0.176,1,1.176
437,Alex Breton,20.2,20.526,1,0,0,0,0,0,0,0,0,0,0
438,Troy Lajeunesse,20.326,20.783,15,5,2,1,7,8,0.333,0.133,0.067,0.467,0.533
439,Kyle Rhodes,19.727,20.184,18,1,1,1,2,3,0.056,0.056,0.056,0.111,0.167
440,Noah Carroll,19.79,20.25,17,3,2,6,5,11,0.176,0.118,0.353,0.294,0.647
441,Matt Hotchkiss,19.609,20.069,19,1,1,0,2,2,0.053,0.053,0,0.105,0.105
